*RadioCtl   Data file generated: 10/13/2024 10:24am
*
*:RADIO:    ICOM/Kenwood
*
*:START:
*  These are sample HAM radio frequencies that can be used in transmitting Radios.
*
*:END:
*
*********** RadioCtl Data Records *****************
* Records are in the format: 
*record_type,field1,field2,field3,....
*     or 
*record_type,key1=value,key2=value,...
* records starting with '*' or '#' are ignored
*rectypes:System,Site,TFreq,Group,Freq    (all case insensitive)
* At least one 'System' record is required for each file
*
*fields/keys:
*  Index: Unique number for the record
*  Valid: If 'F','0','N', record will not be scanned or selected in the radio
*  Service: Any string with any characters except ',','#' or '"' 
*  SystemType: (SYSTEM Records) =>cnv,ltr,eds,edw,edn,mots,motc,trbo,p25s,p25f,p25f,dmr,nxdn
*  Flags:Single Character turns on item. 
*    Flags for FREQ records: 
*      'a'-Attenuation
*      'm'-Preamp
*      'g'-Record is a TGID type (Frequency MUST be 0)
*    Flags for SYSTEM records: 
*      'f'-EDACS AFS format 
*      'h'-AGC_digital, 'i'-id_search (trunked systems), 'j'-AGC_analog, 'k'-data skip 
*      'o'-Control Channel only, 'p'-Turn on priority 
*  Dlyrsm:A number between -10 and +30. Negative number is Resume. 0 is Off
*  Sysno:SYSTEM record index. Required for SITE & GROUP records
*  Siteno:SITE record Index. Required for TFREQ records
*  Groupno:GROUP record Index. Required for FREQ records
*  Hld:(SYSTEM/SITE records). Time in seconds to hold on the system or site
*  Frequency:(FREQ & TFREQ records). Can be in Hz or MHz. MHz must have decimal point
*  Mode:Modulation:AM,AMw,AMm,AMn,WFM (Broadcast),FMn,FMu,LSB,USB,CW,RTTY
*  Lat/Lon: Decimal value  or DMS (DD:MM:SS.SS:direction)
*  P25wait:Time in ms to wait for a P25 decode to complete
*  filter:(SDS200 only):  G-Global N-Normal I-Invert A-Auto O-Off WN-Wide Normal WI-Wide Invert WA-Wide Auto
*  Channel - RadioCtl channel number. 0-9999 
*  _Extra field: UTAG=x - Uniden User tag (0-1000)
*                EMGALT=x - Uniden Emergency Alert (0-9) EMGLVL=x - Uniden Alert Level (0-15)
*                SVCODE - SDS200 Service code           RFGAIN=x - R30 Gain (0-9)
*                SCANGRP=x - IC705/R8600 Scan group number (1-9)
*
*Keywords are not case sensitive
*For keyword=value format, any keyword for the record not specified will be set to the default
*
*
*    #### System Definition #####
SYSTEM   ,index=1,valid=1,systemtype=cnv,mode=FMn,p25lvl=5,p25wait=400,hpd=-1,service=HAM Frequencies
*
*    ### Groups for HAM Frequencies system (1). 
# IC-705 scan is disabled for all groups
GROUP    ,index=1,valid=1,sysno=1,radius=25,dqkey=-1,service=2 Meter Repeaters
GROUP    ,index=2,valid=1,sysno=1,radius=25,dqkey=-1,service=440mhz Repeaters
GROUP    ,index=3,valid=1,sysno=1,radius=25,dqkey=-1,service=50mhz Repeaters
GROUP    ,index=4,valid=1,sysno=1,radius=25,dqkey=-1,service=10 Meter Repeater
GROUP    ,index=5,valid=1,sysno=1,radius=25,dqkey=-1,service=Below 30mhz
*
*    #### All Frequencies for HAM Frequencies system (1) ####
### Mount Beacon 2mtr rptrs have an offset of -.6mhz
FREQ     ,index=1,valid=0,channel=5001,frequency=146.970000,mode=FMn,groupno=1,splfreq=146.370000,service=MtBcn AE2AN
FREQ     ,index=2,valid=0,channel=5002,frequency=146.895000,mode=FMn,groupno=1,splfreq=146.295000,service=Milbrk N2EYH
### WA2GZW has a -5mhz offset
FREQ     ,index=3,valid=0,channel=5101,frequency=449.575000,mode=FMn,groupno=2,splfreq=444.575000,service=MtBcn-440 WA2GZW
### K2ROB offset is -1mhz
FREQ     ,index=4,valid=0,channel=5201,frequency=53.310000,mode=FMn,groupno=3,splfreq=52.310000,service=MtBcn-50  K2ROB
### Useful Shortwave frequencies
### Note:Most of these are Digital requiring computer assistance.
FREQ     ,index=5,valid=0,channel=5401,frequency=7.047500,mode=LS,groupno=5,service=FT4 7mhz
FREQ     ,index=6,valid=0,channel=5402,frequency=7.074000,mode=LS,groupno=5,service=FT8 7mhz
FREQ     ,index=7,valid=0,channel=5403,frequency=14.074000,mode=LS,groupno=5,service=FT8 14mhz
FREQ     ,index=8,valid=0,channel=5404,frequency=3.845000,mode=LS,groupno=5,service=SSTV 3mhz
FREQ     ,index=9,valid=0,channel=5405,frequency=7.171000,mode=LS,groupno=5,service=SSTV 7mhz
FREQ     ,index=10,valid=0,channel=5406,frequency=14.230000,mode=LS,groupno=5,service=SSTV 14mhz
FREQ     ,index=11,valid=0,channel=5407,frequency=21.340000,mode=LS,groupno=5,service=SSTV 21mhz
